r,k,n,D,kappa_sigma1,Sigma1_sq,C1unif,C1unif_bound_sq,thmC_bound,thmC_bound_exact_Calpha,C_GR_at_a,ITF,ratio_Sigma1sq_over_ITF,ratio_thmC_over_ITF,dps,checks_all_pass
1,3,12,3,0.001,0.00010151576360193284,20.085515283663675,1.0,1.0,1.0,1.5,3.1886636e-8,3183.65,3.13611e+7,60,True
2,7,28,5,0.844,0.00010289371277208161,4668.643764321568,1.0,1.0,1.0,2.0,3.6199788e-17,2.84238e+12,2.76245e+16,60,True
3,15,60,7,0.847,0.00010363158276748894,10316.537143507083,1.0,1.0,1.0,2.25,8.659375e-28,1.19676e+23,1.15482e+27,60,True
4,31,124,9,0.844,1.3247420581020472e-05,20367.196358773846,0.6329847171366731,1.0,1.0,2.5,7.2867544e-40,1.81801e+34,1.37235e+39,60,True
5,63,252,11,0.87,2.0178364513205623e-07,60686.87631895585,0.039219736467854094,1.0,1.0,2.6250000000000004,2.8451204e-53,7.09227e+45,3.51479e+52,60,True
6,127,508,13,0.876,7.477352791040347e-09,134966.6199495752,0.0017365281373170245,1.0,0.15420091957441653,2.7500000000000004,,,,,True
7,255,1020,15,0.862,5.952402678198956e-10,216324.40152292317,6.15925164563014e-05,0.06470384551090304,0.008316624177753943,2.8125,,,,,True
8,511,2044,17,0.858,3.189875770033256e-11,408030.57199848094,2.5312654476268543e-06,0.003489716970915583,0.0004485462077975609,2.875,,,,,True
9,1023,4092,19,0.869,8.026721624302133e-13,968039.648813747,1.076280415051731e-07,0.00018821330387610698,2.4191750911114206e-05,2.90625,,,,,True
10,2047,8188,21,0.879,1.49158783281515e-14,2288120.927485756,4.392435850801296e-09,1.0151037477020822e-05,1.3047503288881342e-06,2.9375,,,,,True
11,4095,16380,23,0.888,2.3297300494113127e-16,5379889.335026067,1.731358359665536e-10,5.474828810598368e-07,7.036999624328942e-08,2.9531250000000013,,,,,True
12,8191,32764,25,0.896,3.2408095497816927e-18,12557433.219988165,6.625201506091575e-12,2.9527770509379192e-08,3.795313372712792e-09,2.9687500000000013,,,,,True
