r,k,quantity,param,value,argmax_vertex
1,3,C(a),0.3,1.646434908282079,0
1,3,C(a),0.31,1.6138333127840234,0
1,3,C(a),0.32,1.5818772721291456,0
1,3,C(a),0.33,1.5505540034750975,0
1,3,C(a),0.34,1.5198509770967688,0
1,3,C(a),0.35,1.4897559113742287,0
1,3,C(a),0.36,1.460256767879915,0
1,3,C(a),0.37,1.431341746563103,0
1,3,C(a),0.38,1.4029992810297278,0
1,3,C(a),0.39,1.3752180339156705,0
1,3,C(a),0.4,1.3479868923516647,0
1,3,C(a),0.41,1.3273005002726388,1
1,3,C(a),0.42,1.3140936396301135,1
1,3,C(a),0.43,1.301018189446633,1
1,3,C(a),0.44,1.2880728421662828,1
1,3,C(a),0.45,1.2752563032435467,1
1,3,C(a),0.46,1.262567291013852,1
1,3,C(a),0.47,1.2500045365654016,1
1,3,C(a),0.48,1.2375667836122817,1
1,3,C(a),0.49,1.2252527883688322,1
1,3,C(a),0.5,1.2130613194252668,1
1,3,C(a),0.51,1.2009911576245318,1
1,3,C(a),0.52,1.1890410959403888,1
1,3,C(a),0.53,1.1772099393567104,1
1,3,C(a),0.54,1.1654965047479793,1
1,3,C(a),0.55,1.1538996207609733,1
1,3,C(a),0.56,1.1424181276976297,1
1,3,C(a),0.57,1.1310508773990742,1
1,3,C(a),0.58,1.119796733130804,1
1,3,C(a),0.59,1.1086545694690142,1
1,3,C(a),0.6,1.0976232721880528,1
1,3,C(a),0.61,1.0867017381489996,1
1,3,C(a),0.62,1.075888875189349,1
1,3,C(a),0.63,1.0651836020137944,1
1,3,C(a),0.64,1.054584848086097,1
1,3,C(a),0.65,1.044091553522032,1
1,3,C(a),0.66,1.0337026689833984,1
1,3,C(a),0.67,1.0234171555730849,1
1,3,C(a),0.68,1.013233984731179,1
1,3,C(a),0.69,1.0031521381321111,1
1,3,C(a),0.7,1.0,0
1,3,C(a),0.71,1.0,0
1,3,C(a),0.72,1.0,0
1,3,C(a),0.73,1.0,0
1,3,C(a),0.74,1.0,0
1,3,C(a),0.75,1.0,0
1,3,C(a),0.76,1.0,0
1,3,C(a),0.77,1.0,0
1,3,C(a),0.78,1.0,0
1,3,C(a),0.79,1.0,0
1,3,C(a),0.8,1.0,0
1,3,C(a),0.346574,1.5,0
1,3,C_theta,0.3,2.2896298567757443,1
1,3,C_theta,0.31,2.2713913938189636,1
1,3,C_theta,0.32,2.2534414611167395,1
1,3,C_theta,0.33,2.2357750679236252,1
1,3,C_theta,0.34,2.218387315128199,1
1,3,C_theta,0.35,2.2012733935101227,1
1,3,C_theta,0.36,2.1844285820310025,1
1,3,C_theta,0.37,2.167848246158389,1
1,3,C_theta,0.38,2.151527836222265,1
1,3,C_theta,0.39,2.1354628858033884,1
1,3,C_theta,0.4,2.1196490101528607,1
1,3,C_theta,0.41,2.1040819046423187,1
1,3,C_theta,0.42,2.0887573432441364,1
1,3,C_theta,0.43,2.0736711770410654,1
1,3,C_theta,0.44,2.058819332764723,1
1,3,C_theta,0.45,2.0441978113623724,1
1,3,C_theta,0.46,2.0298026865914403,1
1,3,C_theta,0.47,2.015630103641222,1
1,3,C_theta,0.48,2.001676277781253,1
1,3,C_theta,0.49,1.9879374930358158,1
1,3,C_theta,0.5,1.9744101008840758,1
1,3,C_theta,0.51,1.9610905189853443,1
1,3,C_theta,0.52,1.9479752299289745,1
1,3,C_theta,0.53,1.9350607800084125,1
