family,k,n,D,kappa_tab,Sigma1_printed,Sigma1_upper_certified,Sigma1_ball_radius,Sigma1_ceil4,Sigma1_ok_upper,Sigma1_ok_tight,F_esp_printed,F_esp_upper_certified,F_esp_ball_radius,F_esp_ceil4,F_esp_ok_upper,F_esp_ok_tight,B2_printed,B2_upper_certified,B2_ball_radius,B2_ceil4,B2_ok_upper,B2_ok_tight,active_bound,kappa_tab_in_grid_argmin,kappa_argmin_range,kappa_argmin_size,Sigma1_grid_min_upper
cliques,3,12,5,0.5000,1.008e-02,1.007550314386e-02,9.06e-79,1.008e-02,True,True,1.016e-04,1.015157636019e-04,2.04e-80,1.016e-04,True,True,1.011e-04,1.010049996831e-04,2.14e-80,1.011e-04,True,True,b_eta,True,"[1.0000e-04, 9.9990e-01]",9999,1.007550e-02
cliques,4,16,7,0.5000,1.011e-02,1.010075503144e-02,1.05e-78,1.011e-02,True,True,1.021e-04,1.020252522051e-04,2.32e-80,1.021e-04,True,True,1.011e-04,1.010049996831e-04,2.14e-80,1.011e-04,True,True,b_eta,True,"[1.0000e-04, 9.9990e-01]",9999,1.010076e-02
cliques,5,20,9,0.8440,3.588e-03,3.587488488272e-03,3.61e-78,3.588e-03,True,True,1.288e-05,1.287007365348e-05,2.62e-80,1.288e-05,True,True,1.288e-05,1.287007365348e-05,2.62e-80,1.288e-05,True,True,Sigma1,True,"[8.4400e-01, 8.4400e-01]",1,3.587488e-03
cliques,6,24,11,0.8712,4.279e-04,4.278169628129e-04,5.91e-79,4.279e-04,True,True,1.831e-07,1.830273536705e-07,5.09e-82,1.831e-07,True,True,1.831e-07,1.830273536705e-07,5.09e-82,1.831e-07,True,True,Sigma1,True,"[8.7120e-01, 8.7120e-01]",1,4.278170e-04
cliques,8,32,15,0.8615,2.353e-05,2.352572958903e-05,3.13e-80,2.353e-05,True,True,5.535e-10,5.534599526960e-10,1.49e-84,5.535e-10,True,True,5.535e-10,5.534599526960e-10,1.49e-84,5.535e-10,True,True,Sigma1,True,"[8.6150e-01, 8.6150e-01]",1,2.352573e-05
cliques,10,40,19,0.8681,8.805e-07,8.804019996481e-07,1.92e-81,8.805e-07,True,True,7.752e-13,7.751076809844e-13,3.40e-87,7.752e-13,True,True,7.752e-13,7.751076809844e-13,3.40e-87,7.752e-13,True,True,Sigma1,True,"[8.6810e-01, 8.6810e-01]",1,8.804020e-07
dimer,3,6,5,0.5000,7.285e-03,7.284909581502e-03,1.24e-78,7.285e-03,True,True,5.307e-05,5.306990761066e-05,1.91e-80,5.307e-05,True,True,5.288e-05,5.287677953044e-05,2.00e-80,5.288e-05,True,True,b_eta,True,"[1.0000e-04, 9.9990e-01]",9999,7.284910e-03
dimer,5,10,9,0.8565,5.477e-04,5.476917161286e-04,1.14e-78,5.477e-04,True,True,3.000e-07,2.999662159159e-07,1.26e-81,3.000e-07,True,True,3.000e-07,2.999662159159e-07,1.26e-81,3.000e-07,True,True,Sigma1,True,"[8.5650e-01, 8.5650e-01]",1,5.476917e-04
dimer,7,14,13,0.8830,1.721e-05,1.720208813231e-05,2.05e-80,1.721e-05,True,True,2.960e-10,2.959118361117e-10,7.15e-85,2.960e-10,True,True,2.960e-10,2.959118361117e-10,7.15e-85,2.960e-10,True,True,Sigma1,True,"[8.8300e-01, 8.8300e-01]",1,1.720209e-05
dimer,9,18,17,0.8739,1.983e-07,1.982639534891e-07,7.56e-82,1.983e-07,True,True,3.931e-14,3.930859525312e-14,3.01e-88,3.931e-14,True,True,3.931e-14,3.930859525312e-14,3.01e-88,3.931e-14,True,True,Sigma1,True,"[8.7390e-01, 8.7390e-01]",1,1.982640e-07
dimer,12,24,23,0.9006,9.191e-11,9.190871869069e-11,5.56e-85,9.191e-11,True,True,8.448e-21,8.447212571364e-21,1.02e-94,8.448e-21,True,True,8.448e-21,8.447212571364e-21,1.02e-94,8.448e-21,True,True,Sigma1,True,"[9.0060e-01, 9.0060e-01]",1,9.190872e-11
p4,10,40,39,0.8642,2.474e-01,2.473291402489e-01,6.32e-76,2.474e-01,True,True,6.118e-02,6.117170361628e-02,3.14e-76,6.118e-02,True,True,6.118e-02,6.117170361628e-02,3.14e-76,6.118e-02,True,True,Sigma1,True,"[8.6420e-01, 8.6420e-01]",1,2.473291e-01
p4,20,80,79,0.8951,7.449e-04,7.448353471681e-04,1.52e-77,7.449e-04,True,True,5.548e-07,5.547796943910e-07,2.26e-80,5.548e-07,True,True,5.548e-07,5.547796943910e-07,2.26e-80,5.548e-07,True,True,Sigma1,True,"[8.9510e-01, 8.9510e-01]",1,7.448353e-04
p4,40,160,159,0.9453,1.290e-11,1.289035324150e-11,5.77e-85,1.290e-11,True,True,1.662e-22,1.661612066907e-22,1.49e-95,1.662e-22,True,True,1.662e-22,1.661612066907e-22,1.49e-95,1.662e-22,True,True,Sigma1,True,"[9.4530e-01, 9.4530e-01]",1,1.289035e-11
