family,k,kappa_tab,in_argmin,argmin_first,argmin_last,argmin_size,sigma1_grid_min_upper,sigma1_at_kappa_tab_upper
cliques,3,0.5000,True,1.0000e-04,9.9990e-01,9999,1.007550e-02,1.007550e-02
cliques,4,0.5000,True,1.0000e-04,9.9990e-01,9999,1.010076e-02,1.010076e-02
cliques,5,0.8440,True,8.4400e-01,8.4400e-01,1,3.587488e-03,3.587488e-03
cliques,6,0.8712,True,8.7120e-01,8.7120e-01,1,4.278170e-04,4.278170e-04
cliques,8,0.8615,True,8.6150e-01,8.6150e-01,1,2.352573e-05,2.352573e-05
cliques,10,0.8681,True,8.6810e-01,8.6810e-01,1,8.804020e-07,8.804020e-07
dimer,3,0.5000,True,1.0000e-04,9.9990e-01,9999,7.284910e-03,7.284910e-03
dimer,5,0.8565,True,8.5650e-01,8.5650e-01,1,5.476917e-04,5.476917e-04
dimer,7,0.8830,True,8.8300e-01,8.8300e-01,1,1.720209e-05,1.720209e-05
dimer,9,0.8739,True,8.7390e-01,8.7390e-01,1,1.982640e-07,1.982640e-07
dimer,12,0.9006,True,9.0060e-01,9.0060e-01,1,9.190872e-11,9.190872e-11
p4,10,0.8642,True,8.6420e-01,8.6420e-01,1,2.473291e-01,2.473291e-01
p4,20,0.8951,True,8.9510e-01,8.9510e-01,1,7.448353e-04,7.448353e-04
p4,40,0.9453,True,9.4530e-01,9.4530e-01,1,1.289035e-11,1.289035e-11
