family,parameter,printed,certified_mid,rounds_correctly,string_found_in_main_tex
cliques,eta,0.0050251,5.025125628141e-03,True,True
cliques,ghat,2.4750,2.475000000000e+00,True,True
cliques,rho,1.135041,1.135040557775e+00,True,True
cliques,rho,1.135,1.135040557775e+00,True,True
dimer,W,10.198039,1.019803902719e+01,True,True
dimer,g,13.801961,1.380196097281e+01,True,True
dimer,g,13.802,1.380196097281e+01,True,True
dimer,eta,0.0036358,3.635845105934e-03,True,True
dimer,ghat,3.425490,3.425490243204e+00,True,True
dimer,rho,1.478467,1.478466934355e+00,True,True
p4,g,1.763932,1.763932022500e+00,True,True
p4,eta,0.2049275,2.049275481300e-01,True,True
p4,ghat,0.290983,2.909830056251e-01,True,True
p4,rho,3.098161,3.098160953916e+00,True,True
p4,rho,3.10,3.098160953916e+00,True,True
p4,W,3.24,3.236067977500e+00,True,True
p4,g-2delta,1.16,1.163932022500e+00,True,True
cliques,b_eta^2 (upper bound),1.011\times10^{-4},1.010049996831e-04,True,True
dimer,b_eta^2 (upper bound),5.288\times10^{-5},5.287677953044e-05,True,True
p4,b_eta^2 (upper bound),0.1610,1.609267790478e-01,True,True
