k,band,dist_s,participation_s,bound_s,participation_t,bound_t
3,0,0,0.99999997,1,1.5332721e-18,1.6082091e-3
3,1,4,3.2343755e-8,1.6082091e-3,2.0204622e-8,1.6082091e-3
3,2,8,2.0226551e-18,1.6082091e-3,0.99999998,1
4,0,0,0.99999997,1,3.2403476e-30,1.6082091e-3
4,1,4,3.2343755e-8,1.6082091e-3,1.5404417e-18,1.6082091e-3
4,2,8,2.0160325e-18,1.6082091e-3,2.0204622e-8,1.6082091e-3
4,3,12,3.535037e-30,1.6082091e-3,0.99999998,1
5,0,0,0.99999997,1,5.5808347e-43,1.3125167e-3
5,1,4,3.2343755e-8,1.6082091e-3,3.2639378e-30,1.6082091e-3
5,2,8,2.0160325e-18,1.6082091e-3,1.5404417e-18,1.6082091e-3
5,3,12,3.5141428e-30,1.6082091e-3,2.0204622e-8,1.6082091e-3
5,4,16,5.2518585e-43,1.3125167e-3,0.99999998,1
6,0,0,0.99999997,1,1.419114e-56,4.762519e-5
6,1,4,3.2343755e-8,1.6082091e-3,5.633523e-43,1.3460939e-3
6,2,8,2.0160325e-18,1.6082091e-3,3.2639378e-30,1.6082091e-3
6,3,12,3.5141428e-30,1.6082091e-3,1.5404417e-18,1.6082091e-3
6,4,16,5.2070363e-43,1.3460939e-3,2.0204622e-8,1.6082091e-3
6,5,20,1.1871386e-56,4.762519e-5,0.99999998,1
7,0,0,0.99999997,1,7.7011127e-71,1.6587524e-6
7,1,4,3.2343755e-8,1.6082091e-3,1.4350971e-56,4.7328505e-5
7,2,8,2.0160325e-18,1.6082091e-3,5.633523e-43,1.3571677e-3
7,3,12,3.5141428e-30,1.6082091e-3,3.2639378e-30,1.6082091e-3
7,4,16,5.2070363e-43,1.3571677e-3,1.5404417e-18,1.6082091e-3
7,5,20,1.1740297e-56,4.7328505e-5,2.0204622e-8,1.6082091e-3
7,6,24,5.8474256e-71,1.6587524e-6,0.99999998,1
8,0,0,0.99999997,1,1.1449968e-85,6.2126893e-8
8,1,4,3.2343755e-8,1.6082091e-3,7.7999156e-71,1.7176185e-6
8,2,8,2.0160325e-18,1.6082091e-3,1.4350971e-56,4.772471e-5
8,3,12,3.5141428e-30,1.6082091e-3,5.633523e-43,1.3260499e-3
8,4,16,5.2070363e-43,1.3260499e-3,3.2639378e-30,1.6082091e-3
8,5,20,1.1740297e-56,4.772471e-5,1.5404417e-18,1.6082091e-3
8,6,24,5.7690284e-71,1.7176185e-6,2.0204622e-8,1.6082091e-3
8,7,28,8.0103049e-86,6.2126893e-8,0.99999998,1
9,0,0,0.99999997,1,5.5859721e-101,2.3916431e-9
9,1,4,3.2343755e-8,1.6082091e-3,1.1612572e-85,6.487853e-8
9,2,8,2.0160325e-18,1.6082091e-3,7.7999156e-71,1.7687853e-6
9,3,12,3.5141428e-30,1.6082091e-3,1.4350971e-56,4.8222444e-5
9,4,16,5.2070363e-43,1.3146899e-3,5.633523e-43,1.3146899e-3
9,5,20,1.1740297e-56,4.8222444e-5,3.2639378e-30,1.6082091e-3
9,6,24,5.7690284e-71,1.7687853e-6,1.5404417e-18,1.6082091e-3
9,7,28,7.8851227e-86,6.487853e-8,2.0204622e-8,1.6082091e-3
9,8,32,3.6410779e-101,2.3916431e-9,0.99999998,1
10,0,0,0.99999997,1,1.0247635e-116,7.4125252e-11
10,1,4,3.2343755e-8,1.6082091e-3,5.6721033e-101,2.0885084e-9
10,2,8,2.0160325e-18,1.6082091e-3,1.1612572e-85,5.9139243e-8
10,3,12,3.5141428e-30,1.6082091e-3,7.7999156e-71,1.6746162e-6
10,4,16,5.2070363e-43,1.3427475e-3,1.4350971e-56,4.7419266e-5
10,5,20,1.1740297e-56,4.7419266e-5,5.633523e-43,1.3427475e-3
10,6,24,5.7690284e-71,1.6746162e-6,3.2639378e-30,1.6082091e-3
10,7,28,7.8851227e-86,5.9139243e-8,1.5404417e-18,1.6082091e-3
10,8,32,3.5765853e-101,2.0885084e-9,2.0204622e-8,1.6082091e-3
10,9,36,6.277398e-117,7.4125252e-11,0.99999998,1
